Twitter,State,Chamber of Congress,Name,Party,screen_name
@RepGilCisneros,California 39th District,U.S. Representative,"Cisneros, Gilbert Ray Jr.",D,RepGilCisneros
@RepRoybalAllard,California 40th District,U.S. Representative,"Roybal-Allard, Lucille",D,RepRoybalAllard
@RepMarkTakano,California 41st District,U.S. Representative,"Takano, Mark",D,RepMarkTakano
@KenCalvert,California 42nd District,U.S. Representative,"Calvert, Ken",R,KenCalvert
@MaxineWaters,California 43rd District,U.S. Representative,"Waters, Maxine",D,MaxineWaters
@Nanette4CA,California 44th District,U.S. Representative,"Barragan, Nanette",D,Nanette4CA
@RepKatiePorter,California 45th District,U.S. Representative,"Porter, Katie",D,RepKatiePorter
@RepLouCorrea,California 46th Division,U.S. Representative,"Correa, Lou",D,RepLouCorrea
@RepLowenthal,California 47th District,U.S. Representative,"Lowenthal, Alan",D,RepLowenthal
@RepHarley,California 48th District,U.S. Representative,"Rouda, Harley",D,RepHarley
@RepMikeLevin,California 49th District,U.S. Representative,"Levin, Mike",D,RepMikeLevin
,California 50th District,U.S. Representative,Vacant,,
@RepJuanVargas,California 51st District,U.S. Representative,"Vargas, Juan",D,RepJuanVargas
@RepScottPeters,California 52nd District,U.S. Representative,"Peters, Scott",D,RepScottPeters
@RepSusanDavis,California 53rd District,U.S. Representative,"Davis, Susan",D,RepSusanDavis
@MichaelBennet,Colorado,U.S. Senator,"Bennet, Michael",D,MichaelBennet
@SenCoryGardner,Colorado,U.S. Senator,"Gardner, Cory",R,SenCoryGardner
@RepDianaDeGette,Colorado 1st District,U.S. Representative,"DeGette, Diana",D,RepDianaDeGette
@RepJoeNeguse,Colorado 2nd District,U.S. Representative,"Neguse, Joe",R,RepJoeNeguse
@RepTipton,Colorado 3rd District,U.S. Representative,"Tipton, Scott",R,RepTipton
@RepKenBuck,Colorado 4th District,U.S. Representative,"Buck, Ken",R,RepKenBuck
@RepDLamborn,Colorado 5th District,U.S. Representative,"Lamborn, Doug",R,RepDLamborn
@RepJasonCrow,Colorado 6th District,U.S. Representative,"Crow, Jason",D,RepJasonCrow
@RepPerlmutter,Colorado 7th District,U.S. Representative,"Perlmutter, Ed",D,RepPerlmutter
@ChrisMurphyCT,Connecticut,U.S. Senator,"Murphy, Chris",D,ChrisMurphyCT
@SenBlumenthal,Connecticut,U.S. Senator,"Blumenthal, Richard",D,SenBlumenthal
@RepJohnLarson,Connecticut 1st District,U.S. Representative,"Larson, John B.",D,RepJohnLarson
@RepJoeCourtney,Connecticut 2nd District,U.S. Representative,"Courtney, Joe",D,RepJoeCourtney
@rosadelauro,Connecticut 3rd District,U.S. Representative,"DeLauro, Rosa L.",D,rosadelauro
@jahimes,Connecticut 4th District,U.S. Representative,"Himes, Jim",D,jahimes
@RepJahanaHayes,Connecticut 5th District,U.S. Representative,"Hayes, Jahana",D,RepJahanaHayes
@SenCoonsOffice,Delaware,U.S. Senator,"Coons, Chris",D,SenCoonsOffice
@SenatorCarper,Delaware,U.S. Senator,"Carper, Tom",D,SenatorCarper
@LisaBRochester,Delaware At-Large,U.S. Representative,"Blunt Rochester, Lisa",D,LisaBRochester
@EleanorNorton,District of Columbia At-Large,U.S. Representative,"Norton, Eleanor Holmes",D,EleanorNorton
@marcorubio,Florida,U.S. Senator,"Rubio, Marco",R,marcorubio
@ScottforFlorida,Florida,U.S. Senator,"Scott, Rick",R,ScottforFlorida
@MattGaetz,Florida 1st District,U.S. Representative,"Gaetz, Matt",R,MattGaetz
@DrNealDunnFL2,Florida 2nd District,U.S. Representative,"Dunn, Neal",R,DrNealDunnFL2
@RepTedYoho,Florida 3rd District,U.S. Representative,"Yoho, Ted",R,RepTedYoho
@JRutherfordFL,Florida 4th District,U.S. Representative,"Rutherford, John",R,JRutherfordFL
@AlLawsonJr,Florida 5th District,U.S. Representative,"Lawson, Al",D,AlLawsonJr
@RepMichaelWaltz,Florida 6th District,U.S. Representative,"Waltz, Michael",R,RepMichaelWaltz
@SMurphyCongress,Florida 7th District,U.S. Representative,"Murphy, Stephanie",D,SMurphyCongress
@congbillposey,Florida 8th District,U.S. Representative,"Posey, Bill",R,congbillposey
@RepDarrenSoto,Florida 9th District,U.S. Representative,"Soto, Darren",D,RepDarrenSoto
@Val_Demings,Florida 10th District,U.S. Representative,"Demings, Val",D,Val_Demings
@RepWebster,Florida 11th District,U.S. Representative,"Webster, Daniel",R,RepWebster
@RepGusBilirakis,Florida 12th District,U.S. Representative,"Bilirakis, Gus M.",R,RepGusBilirakis
@CharlieCrist,Florida 13th District,U.S. Representative,"Crist, Charlie",D,CharlieCrist
@USRepKCastor,Florida 14th District,U.S. Representative,"Castor, Kathy",D,USRepKCastor
@RepRossSpano,Florida 15th District,U.S. Representative,"Spano, Ross",R,RepRossSpano
@VernBuchanan,Florida 16th District,U.S. Representative,"Buchanan, Vern",R,VernBuchanan
@RepGregSteube,Florida 17th District,U.S. Representative,"Steube, W. Gregory",R,RepGregSteube
@BrianMastFL,Florida 18th District,U.S. Representative,"Mast, Brian",R,BrianMastFL
@FrancisRooney,Florida 19th District,U.S. Representative,"Rooney, Francis",R,FrancisRooney
@RepHastingsFL,Florida 20th District,U.S. Representative,"Hastings, Alcee L.",D,RepHastingsFL
@RepLoisFrankel,Florida 21st District,U.S. Representative,"Frankel, Lois",D,RepLoisFrankel
@RepTedDeutch,Florida 22nd District,U.S. Representative,"Deutch, Ted",D,RepTedDeutch
@RepDWStweets,Florida 23rd District,U.S. Representative,"Wasserman Schultz, Debbie",D,RepDWStweets
@RepWilson,Florida 24th District,U.S. Representative,"Wilson, Frederica",D,RepWilson
@MarioDB,Florida 25th District,U.S. Representative,"Diaz-Balart, Mario",R,MarioDB
@RepDMP,Florida 26th District,U.S. Representative,"Mucarsel-Powell, Debbie",D,RepDMP
@RepShalala,Florida 27th District,U.S. Representative,"Shalala, Donna E.",D,RepShalala
@sendavidperdue,Georgia,U.S. Senator,"Perdue, David",R,sendavidperdue
@SenatorLoeffler,Georgia,U.S. Senator,"Loeffler, Kelly",R,SenatorLoeffler
@RepBuddyCarter,Georgia 1st District,U.S. Representative,"Carter, Buddy",R,RepBuddyCarter
@SanfordBishop,Georgia 2nd District,U.S. Representative,"Bishop Jr., Sanford D.",D,SanfordBishop
@DrewFergusonGA,Georgia 3rd District,U.S. Representative,"Ferguson, Drew",R,DrewFergusonGA
@RepHankJohnson,Georgia 4th District,U.S. Representative,"Johnson, Henry C. “Hank” Jr.",D,RepHankJohnson
@repjohnlewis,Georgia 5th District,U.S. Representative,"Lewis, John",D,repjohnlewis
@RepLucyMcBath,Georgia 6th District,U.S. Representative,"McBath, Lucy",D,RepLucyMcBath
@RepRobWoodall,Georgia 7th District,U.S. Representative,"Woodall, Robert",R,RepRobWoodall
@AustinScottGA08,Georgia 8th District,U.S. Representative,"Scott, Austin",R,AustinScottGA08
