Twitter,State,Chamber of Congress,Name,Party,screen_name
@Maggie_Hassan,New Hampshire,U.S. Senator,"Hassan, Maggie",D,Maggie_Hassan
@RepChrisPappas,New Hampshire 1st District,U.S. Representative,"Pappas, Chris",D,RepChrisPappas
@RepAnnieKuster,New Hampshire 2nd District,U.S. Representative,"Kuster, Ann",D,RepAnnieKuster
@SenatorMenendez,New Jersey,U.S. Senator,"Menendez, Robert",D,SenatorMenendez
@CoryBooker,New Jersey,U.S. Senator,"Booker, Cory",D,CoryBooker
@DonNorcross4NJ,New Jersey 1st District,U.S. Representative,"Norcross, Donald",D,DonNorcross4NJ
@JeffVanDrew,New Jersey 2nd District,U.S. Representative,"Van Drew, Jefferson",D,JeffVanDrew
@RepAndyKimNJ,New Jersey 3rd District,U.S. Representative,"Kim, Andy",D,RepAndyKimNJ
@RepChrisSmith,New Jersey 4th District,U.S. Representative,"Smith, Chris",R,RepChrisSmith
@JoshGottheimer,New Jersey 5th District,U.S. Representative,"Gottheimer, Josh",D,JoshGottheimer
@FrankPallone,New Jersey 6th District,U.S. Representative,"Pallone Jr., Frank",D,FrankPallone
@RepMalinowski,New Jersey 7th District,U.S. Representative,"Malinowski, Tom",D,RepMalinowski
@RepSires,New Jersey 8th District,U.S. Representative,"Sires, Albio",D,RepSires
@BillPascrell,New Jersey 9th District,U.S. Representative,"Pascrell Jr., Bill",D,BillPascrell
@RepDonaldPayne,New Jersey 10th District,U.S. Representative,"Payne Jr., Donald",D,RepDonaldPayne
@RepSherrill,New Jersey 11th District,U.S. Representative,"Sherrill, Mikie",D,RepSherrill
@RepBonnie,New Jersey 12th District,U.S. Representative,"Watson Coleman, Bonnie",D,RepBonnie
@SenatorTomUdall,New Mexico,U.S. Senator,"Udall, Tom",D,SenatorTomUdall
@MartinHeinrich,New Mexico,U.S. Senator,"Heinrich, Martin",D,MartinHeinrich
@RepDebHaaland,New Mexico 1st District,U.S. Representative,"Haaland, Debra",D,RepDebHaaland
@RepTorresSmall,New Mexico 2nd District,U.S. Representative,"Torres Small, Xochiti",D,RepTorresSmall
@repbenraylujan,New Mexico 3rd District,U.S. Representative,"Lujan, Ben R.",D,repbenraylujan
@SenSchumer,New York,U.S. Senator,"Schumer, Chuck",D,SenSchumer
@SenGillibrand,New York,U.S. Senator,"Gillibrand, Kirsten",D,SenGillibrand
@RepLeeZeldin,New York 1st District,U.S. Representative,"Zeldin, Lee",R,RepLeeZeldin
@RepPeteKing,New York 2nd District,U.S. Representative,"King, Pete",R,RepPeteKing
@Tom_Suozzi,New York 3rd District,U.S. Representative,"Suozzi, Tom",D,Tom_Suozzi
@RepKathleenRice,New York 4th District,U.S. Representative,"Rice, Kathleen",D,RepKathleenRice
@RepGregoryMeeks,New York 5th District,U.S. Representative,"Meeks, Gregory W.",D,RepGregoryMeeks
@RepGraceMeng,New York 6th District,U.S. Representative,"Meng, Grace",D,RepGraceMeng
@NydiaVelazquez,New York 7th District,U.S. Representative,"Velázquez, Nydia M.",D,NydiaVelazquez
@RepJeffries,New York 8th District,U.S. Representative,"Jeffries, Hakeem",D,RepJeffries
@RepYvetteClarke,New York 9th District,U.S. Representative,"Clarke, Yvette D.",D,RepYvetteClarke
@RepJerryNadler,New York 10th District,U.S. Representative,"Nadler, Jerrold",D,RepJerryNadler
@RepMaxRose,New York 11th District,U.S. Representative,"Rose, Max",D,RepMaxRose
@RepMaloney,New York 12th District,U.S. Representative,"Maloney, Carolyn",D,RepMaloney
@EspaillatNY,New York 13th District,U.S. Representative,"Espaillat, Adriano",D,EspaillatNY
@RepAOC,New York 14th District,U.S. Representative,"Ocasio-Cortez, Alexandria",D,RepAOC
@RepJoseSerrano,New York 15th District,U.S. Representative,"Serrano, José E.",D,RepJoseSerrano
@RepEliotEngel,New York 16th District,U.S. Representative,"Engel, Eliot",D,RepEliotEngel
@NitaLowey,New York 17th District,U.S. Representative,"Lowey, Nita",D,NitaLowey
@RepSeanMaloney,New York 18th District,U.S. Representative,"Maloney, Sean Patrick",D,RepSeanMaloney
@RepDelgado,New York 19th District,U.S. Representative,"Delgado, Antonio",D,RepDelgado
@RepPaulTonko,New York 20th District,U.S. Representative,"Tonko, Paul D.",D,RepPaulTonko
@RepStefanik,New York 21st District,U.S. Representative,"Stefanik, Elise",R,RepStefanik
@RepBrindisi,New York 22nd District,U.S. Representative,"Brindisi, Anthony",D,RepBrindisi
@RepTomReed,New York 23rd District,U.S. Representative,"Reed, Tom",R,RepTomReed
@RepJohnKatko,New York 24th District,U.S. Representative,"Katko, John",R,RepJohnKatko
@RepJoeMorelle,New York 25th District,U.S. Representative,"Morelle, Joseph",D,RepJoeMorelle
@RepBrianHiggins,New York 26th District,U.S. Representative,"Higgins, Brian",D,RepBrianHiggins
@SenThomTillis,North Carolina,U.S. Senator,"Tillis, Thom",R,SenThomTillis
@SenatorBurr,North Carolina,U.S. Senator,"Burr, Richard",R,SenatorBurr
@GKButterfield,North Carolina 1st District,U.S. Representative,"Butterfield, G.K.",D,GKButterfield
@GeorgeHolding,North Carolina 2nd District,U.S. Representative,"Holding, George",R,GeorgeHolding
@RepGregMurphy,North Carolina 3rd District,U.S. Representative,"Murphy, Greg",R,RepGregMurphy
@RepDavidEPrice,North Carolina 4th District,U.S. Representative,"Price, David",D,RepDavidEPrice
@virginiafoxx,North Carolina 5th District,U.S. Representative,"Foxx, Virginia",R,virginiafoxx
@RepMarkWalker,North Carolina 6th District,U.S. Representative,"Walker, Mark",R,RepMarkWalker
@RepDavidRouzer,North Carolina 7th District,U.S. Representative,"Rouzer, David",R,RepDavidRouzer
@RepRichHudson,North Carolina 8th District,U.S. Representative,"Hudson, Richard",R,RepRichHudson
@jdanbishop,North Carolina 9th District,U.S. Representative,"Bishop, Dan",R,jdanbishop
@PatrickMcHenry,North Carolina 10th District,U.S. Representative,"McHenry, Patrick T.",R,PatrickMcHenry
@RepAdams,North Carolina 12th District,U.S. Representative,"Adams, Alma",D,RepAdams
@BuddforCongress,North Carolina 13th District,U.S. Representative,"Budd, Ted",R,BuddforCongress
@SenJohnHoeven,North Dakota,U.S. Senator,"Hoeven, John",R,SenJohnHoeven
@SenKevinCramer,North Dakota,U.S. Senator,"Cramer, Kevin",R,SenKevinCramer
@RepArmstrongND,North Dakota At-Large,U.S. Representative,"Armstrong, Kelly",R,RepArmstrongND
@Kilili_Sablan,Northern Mariana Islands At-Large,U.S. Representative,"Sablan, Gregorio",D,Kilili_Sablan
@senrobportman,Ohio,U.S. Senator,"Portman, Rob",R,senrobportman
@SenSherrodBrown,Ohio,U.S. Senator,"Brown, Sherrod",D,SenSherrodBrown
@RepSteveChabot,Ohio 1st District,U.S. Representative,"Chabot, Steve",R,RepSteveChabot
@RepBradWenstrup,Ohio 2nd District,U.S. Representative,"Wenstrup, Brad",R,RepBradWenstrup
@RepBeatty,Ohio 3rd District,U.S. Representative,"Beatty, Joyce",D,RepBeatty
@Jim_Jordan,Ohio 4th District,U.S. Representative,"Jordan, Jim",R,Jim_Jordan
@boblatta,Ohio 5th District,U.S. Representative,"Latta, Robert E.",R,boblatta
@RepBillJohnson,Ohio 6th District,U.S. Representative,"Johnson, Bill",R,RepBillJohnson
@RepBobGibbs,Ohio 7th District,U.S. Representative,"Gibbs, Bob",R,RepBobGibbs
@WarrenDavidson,Ohio 8th District,U.S. Representative,"Davidson, Warren",R,WarrenDavidson
@RepMarcyKaptur,Ohio 9th District,U.S. Representative,"Kaptur, Marcy",D,RepMarcyKaptur
@RepMikeTurner,Ohio 10th District,U.S. Representative,"Turner, Michael",R,RepMikeTurner
@RepMarciaFudge,Ohio 11th District,U.S. Representative,"Fudge, Marcia L.",D,RepMarciaFudge
@RepBalderson,Ohio 12th District,U.S. Representative,"Balderson, Troy",R,RepBalderson
@RepTimRyan,Ohio 13th District,U.S. Representative,"Ryan, Tim",D,RepTimRyan
@RepDaveJoyce,Ohio 14th District,U.S. Representative,"Joyce, David",R,RepDaveJoyce
@RepSteveStivers,Ohio 15th District,U.S. Representative,"Stivers, Steve",R,RepSteveStivers
@RepAGonzalez,Ohio 16th District,U.S. Representative,"Gonzalez, Anthony",R,RepAGonzalez
@SenatorLankford,Oklahoma,U.S. Senator,"Lankford, James",R,SenatorLankford
@InhofePress,Oklahoma,U.S. Senator,"Inhofe, Jim",R,InhofePress
@RepKevinHern,Oklahoma 1st District,U.S. Representative,"Hern, Kevin",R,RepKevinHern
@RepMullin,Oklahoma 2nd District,U.S. Representative,"Mullin, Markwayne",R,RepMullin
@RepFrankLucas,Oklahoma 3rd District,U.S. Representative,"Lucas, Frank",R,RepFrankLucas
@TomColeOK04,Oklahoma 4th District,U.S. Representative,"Cole, Tom",R,TomColeOK04
@RepKendraHorn,Oklahoma 5th District,U.S. Representative,"Horn, Kendra",D,RepKendraHorn
@RonWyden,Oregon,U.S. Senator,"Wyden, Ron",D,RonWyden
@SenJeffMerkley,Oregon,U.S. Senator,"Merkley, Jeff",D,SenJeffMerkley
@RepBonamici,Oregon 1st District,U.S. Representative,"Bonamici, Suzanne",D,RepBonamici
@repgregwalden,Oregon 2nd District,U.S. Representative,"Walden, Greg",R,repgregwalden
@repblumenauer,Oregon 3rd District,U.S. Representative,"Blumenauer, Earl",D,repblumenauer
@RepPeterDeFazio,Oregon 4th District,U.S. Representative,"DeFazio, Peter",D,RepPeterDeFazio
@RepSchrader,Oregon 5th District,U.S. Representative,"Schrader, Kurt",D,RepSchrader
@Jenniffer2012,Puerto Rico At-Large,U.S. Representative,"Gonzalez-Colon, Jenniffer",R,Jenniffer2012
@SenToomey,Pennsylvania,U.S. Senator,"Toomey, Patrick",R,SenToomey
@SenBobCasey,Pennsylvania,U.S. Senator,"Casey, Bob Jr.",D,SenBobCasey
@RepBrianFitz,Pennsylvania 1st District,U.S. Representative,"Fitzpatrick, Brady",R,RepBrianFitz
@CongBoyle,Pennsylvania 2nd District,U.S. Representative,"Boyle, Brendan",D,CongBoyle
@RepDwightEvans,Pennsylvania 3rd District,U.S. Representative,"Evans, Dwight",D,RepDwightEvans
@RepDean,Pennsylvania 4th District,U.S. Representative,"Dean, Madeleine",D,RepDean
@RepMGS,Pennsylvania 5th District,U.S. Representative,"Scanlon, Mary-Gay",D,RepMGS
@RepHoulahan,Pennsylvania 6th District,U.S. Representative,"Houlahan, Chrissy",D,RepHoulahan
@RepSusanWild,Pennsylvania 7th District,U.S. Representative,"Wild, Susan",D,RepSusanWild
@RepCartwright,Pennsylvania 8th District,U.S. Representative,"Cartwright, Matt",D,RepCartwright
@RepMeuser,Pennsylvania 9th District,U.S. Representative,"Meuser, Daniel",R,RepMeuser
@RepScottPerry,Pennsylvania 10th District,U.S. Representative,"Perry, Scott",R,RepScottPerry
@RepFredKelle,Pennsylvania 12th District,U.S. Representative,"Keller, Fred",R,RepFredKeller
@RepJohnJoyce,Pennsylvania 13th District,U.S. Representative,"Joyce, John",R,RepJohnJoyce
@GReschenthaler,Pennsylvania 14th District,U.S. Representative,"Reschenthaler, Guy",R,GReschenthaler
@CongressmanGT,Pennsylvania 15th District,U.S. Representative,"Thompson, Glenn",R,CongressmanGT
@MikeKellyforPA,Pennsylvania 16th District,U.S. Representative,"Kelly, Mike",R,MikeKellyforPA
@RepConorLamb,Pennsylvania 17th District,U.S. Representative,"Lamb, Conor",D,RepConorLamb
@USRepMikeDoyle,Pennsylvania 18th District,U.S. Representative,"Doyle, Michael",D,USRepMikeDoyle
@SenWhitehouse,Rhode Island,U.S. Senator,"Whitehouse, Sheldon",D,SenWhitehouse
@SenJackReed,Rhode Island,U.S. Senator,"Reed, Jack",D,SenJackReed
@RepCicilline,Rhode Island 1st District,U.S. Representative,"Cicilline, David",D,RepCicilline
@jimlangevin,Rhode Island 2nd District,U.S. Representative,"Langevin, Jim",D,jimlangevin
@SenatorTimScott,South Carolina,U.S. Senator,"Scott, Tim",R,SenatorTimScott
@LindsayGrahamSC,South Carolina,U.S. Senator,"Graham, Lindsey",R,LindsayGrahamSC
@RepCunningham,South Carolina 1st District,U.S. Representative,"Cunningham, Joe",D,RepCunningham
@RepJoeWilson,South Carolina 2nd District,U.S. Representative,"Wilson, Joe",R,RepJoeWilson
@RepJeffDuncan,South Carolina 3rd District,U.S. Representative,"Duncan, Jeff",R,RepJeffDuncan
@RepTimmons,South Carolina 4th District,U.S. Representative,"Timmons, William",R,RepTimmons
@RepRalphNorman,South Carolina 5th District,U.S. Representative,"Norman, Ralph",R,RepRalphNorman
@WhipClyburn,South Carolina 6th District,U.S. Representative,"Clyburn, James E.",D,WhipClyburn
@RepTomRice,South Carolina 7th District,U.S. Representative,"Rice, Tom",R,RepTomRice
@SenJohnThune,South Dakota,U.S. Senator,"Thune, John",R,SenJohnThune
@SenatorRounds,South Dakota,U.S. Senator,"Rounds, Mike",R,SenatorRounds
@RepDustyJohnson,South Dakota At-Large,U.S. Representative,"Johnson, Dusty",R,RepDustyJohnson
@MarshaBlackburn,Tennessee,U.S. Senator,"Blackburn, Marsha",R,MarshaBlackburn
@SenAlexander,Tennessee,U.S. Senator,"Alexander, Lamar",R,SenAlexander
@DrPhilRoe,Tennessee 1st District,U.S. Representative,"Roe, Phil",R,DrPhilRoe
@RepTimBurchett,Tennessee 2nd District,U.S. Representative,"Burchett, Tim",R,RepTimBurchett
@RepChuck,Tennessee 3rd District,U.S. Representative,"Fleischmann, Chuck",R,RepChuck
@DesJarlaisTN04,Tennessee 4th District,U.S. Representative,"DesJarlais, Scott",R,DesJarlaisTN04
@repjimcooper,Tennessee 5th District,U.S. Representative,"Cooper, Jim",D,repjimcooper
@RepJohnRose,Tennessee 6th District,U.S. Representative,"Rose, John W.",R,RepJohnRose
@RepMarkGreen,Tennessee 7th District,U.S. Representative,"Green, Mark",R,RepMarkGreen
@DavidKustoff,Tennessee 8th District,U.S. Representative,"Kustoff, David",R,DavidKustoff
@RepCohen,Tennessee 9th District,U.S. Representative,"Cohen, Steve",D,RepCohen
@SenTedCruz,Texas,U.S. Senator,"Cruz, Ted",R,SenTedCruz
@JohnCornyn,Texas,U.S. Senator,"Cornyn, John",R,JohnCornyn
@replouiegohmert,Texas 1st District,U.S. Representative,"Gohmert, Louie",R,replouiegohmert
@RepDanCrenshaw,Texas 2nd District,U.S. Representative,"Crenshaw, Dan",R,RepDanCrenshaw
@RepVanTaylor,Texas 3rd District,U.S. Representative,"Taylor, Van",R,RepVanTaylor
@Lancegooden,Texas 5th District,U.S. Representative,"Gooden, Lance",R,Lancegooden
@RepRonWright,Texas 6th District,U.S. Representative,"Wright, Ron",R,RepRonWright
@RepFletcher,Texas 7th District,U.S. Representative,"Fletcher, Lizzie",D,RepFletcher
@RepKevinBrady,Texas 8th District,U.S. Representative,"Brady, Kevin",R,RepKevinBrady
@RepAlGreen,Texas 9th District,U.S. Representative,"Green, Al",D,RepAlGreen
@RepMcCaul,Texas 10th District,U.S. Representative,"McCaul, Michael T.",R,RepMcCaul
@ConawayTX11,Texas 11th District,U.S. Representative,"Conaway, K. Michael",R,ConawayTX11
@RepKayGranger,Texas 12th District,U.S. Representative,"Granger, Kay",R,RepKayGranger
@MacTXPress,Texas 13th District,U.S. Representative,"Thornberry, Mac",R,MacTXPress
@TXRandy14,Texas 14th District,U.S. Representative,"Weber, Randy",R,TXRandy14
@RepGonzalez,Texas 15th District,U.S. Representative,"Gonzalez, Vincente",D,RepGonzalez
@RepEscobar,Texas 16th District,U.S. Representative,"Escobar, Veronica ",D,RepEscobar
@RepBillFlores,Texas 17th District,U.S. Representative,"Flores, Bill",R,RepBillFlores
@JacksonLeeTX18,Texas 18th District,U.S. Representative,"Jackson Lee, Sheila",D,JacksonLeeTX18
@JodeyArrington,Texas 19th District,U.S. Representative,"Arrington, Jodey",R,JodeyArrington
@JoaquinCastrotx,Texas 20th District,U.S. Representative,"Castro, Joaquin",D,JoaquinCastrotx
@RepChipRoy,Texas 21st District,U.S. Representative,"Roy, Chip",R,RepChipRoy
@PeteOlson,Texas 22nd District,U.S. Representative,"Olson, Pete",R,PeteOlson
@HurdOnTheHill,Texas 23rd District,U.S. Representative,"Hurd, Will",R,HurdOnTheHill
@RepKenMarchant,Texas 24th District,U.S. Representative,"Marchant, Kenny",R,RepKenMarchant
@RepRWilliams,Texas 25th District,U.S. Representative,"Williams, Roger",R,RepRWilliams
@michaelcburgess,Texas 26th District,U.S. Representative,"Burgess, Michael",R,michaelcburgess
@RepCloudTX,Texas 27th District,U.S. Representative,"Cloud, Michael",R,RepCloudTX
@RepCuellar,Texas 28th District,U.S. Representative,"Cuellar, Henry",D,RepCuellar
@RepSylviaGarcia,Texas 29th District,U.S. Representative,"Garcia, Sylvia",D,RepSylviaGarcia
@RepEBJ,Texas 30th District,U.S. Representative,"Johnson, Eddie Bernice",D,RepEBJ
@JudgeCarter,Texas 31st District,U.S. Representative,"Carter, John",R,JudgeCarter
@RepColinAllred,Texas 32nd District,U.S. Representative,"Allred, Colin",D,RepColinAllred
@RepVeasey,Texas 33rd District,U.S. Representative,"Veasey, Marc",D,RepVeasey
@RepFilemonVela,Texas 34th District,U.S. Representative,"Vela, Filemon",D,RepFilemonVela
@RepLloydDoggett,Texas 35th District,U.S. Representative,"Doggett, Lloyd",D,RepLloydDoggett
@RepBrianBabin,Texas 36th District,U.S. Representative,"Babin, Brian",R,RepBrianBabin
@SenMikeLee,Utah,U.S. Senator,"Lee, Mike",R,SenMikeLee
@SenatorRomney,Utah,U.S. Senator,"Romney, Mitt",R,SenatorRomney
@RepChrisStewart,Utah 2nd District,U.S. Representative,"Stewart, Chris",R,RepChrisStewart
@RepJohnCurtis,Utah 3rd District,U.S. Representative,"Curtis, John R.",R,RepJohnCurtis
@RepBenMcAdams,Utah 4th District,U.S. Representative,"McAdams, Ben",D,RepBenMcAdams
@SenSanders,Vermont,U.S. Senator,"Sanders, Bernie",I,SenSanders
 @SenatorLeahy,Vermont,U.S. Senator,"Leahy, Patrick",D,@SenatorLeahy
@PeterWelch,Vermont At-Large,U.S. Representative,"Welch, Peter",D,PeterWelch
@MarkWarner,Virginia,U.S. Senator,"Warner, Mark",D,MarkWarner
@timkaine,Virginia,U.S. Senator,"Kaine, Tim",D,timkaine
@RobWittman,Virginia 1st District,U.S. Representative,"Wittman, Robert J.",R,RobWittman
@RepElaineLuria,Virginia 2nd District,U.S. Representative,"Luria, Elaine",D,RepElaineLuria
@BobbyScott,Virginia 3rd District,U.S. Representative,"Scott, Robert C.",D,BobbyScott
@Donald_McEachin,Virginia 4th District,U.S. Representative,"McEacchin, Donald",R,Donald_McEachin
@RepRiggleman,Virginia 5th District,U.S. Representative,"Riggleman, Denver",R,RepRiggleman
@RepBenCline,Virginia 6th District,U.S. Representative,"Cline, Ben",R,RepBenCline
@RepSpanberger,Virginia 7th District,U.S. Representative,"Spanberger, Abigail",D,RepSpanberger
@RepDonBeyer,Virginia 8th District,U.S. Representative,"Beyer, Don",D,RepDonBeyer
@RepMGriffith,Virginia 9th District,U.S. Representative,"Griffith, Morgan",R,RepMGriffith
@RepWexton,Virginia 10th District,U.S. Representative,"Wexton, Jennifer",D,RepWexton
@GerryConnolly,Virginia 11th District,U.S. Representative,"Connolly, Gerald E. “Gerry”",D,GerryConnolly
@StaceyPlaskett,Virgin Islands At-Large,U.S. Representative,"Plaskett, Stacey",D,StaceyPlaskett
@PattyMurray,Washington,U.S. Senator,"Murray, Patty",D,PattyMurray
@SenatorCantwell,Washington,U.S. Senator,"Cantwell, Maria",D,SenatorCantwell
@RepDelBene,Washington 1st District,U.S. Representative,"DelBene, Suzan",D,RepDelBene
@RepRickLarsen,Washington 2nd District,U.S. Representative,"Larsen, Rick",D,RepRickLarsen
@HerreraBeutler,Washington 3rd District,U.S. Representative,"Herrera Beutler, Jaime",R,HerreraBeutler
@RepNewhouse,Washington 4th District,U.S. Representative,"Newhouse, Dan",R,RepNewhouse
@cathymcmorris,Washington 5th District,U.S. Representative,"McMorris Rodgers, Cathy",R,cathymcmorris
@RepDerekKilmer,Washington 6th District,U.S. Representative,"Kilmer, Derek",D,RepDerekKilmer
@PramilaJayapal,Washington 7th District,U.S. Representative,"Jayapal, Pramila",D,PramilaJayapal
@RepKimSchrier,Washington 8th District,U.S. Representative,"Schrier, Kim",D,RepKimSchrier
@RepAdamSmith,Washington 9th District,U.S. Representative,"Smith, Adam",D,RepAdamSmith
@RepDennyHeck,Washington 10th District,U.S. Representative,"Heck, Denny",D,RepDennyHeck
@Sen_JoeManchin,West Virginia,U.S. Senator,"Manchin, Joe",D,Sen_JoeManchin
@SenCapito,West Virginia,U.S. Senator,"Moore Capito, Shelley",R,SenCapito
@RepMcKinley,West Virginia 1st District,U.S. Representative,"McKinley, David",R,RepMcKinley
@RepAlexMooney,West Virginia 2nd District,U.S. Representative,"Mooney, Alex",R,RepAlexMooney
@RepCarolMiller,West Virginia 3rd District,U.S. Representative,"Miller, Carol",R,RepCarolMiller
@SenRonJohnson,Wisconsin,U.S. Senator,"Johnson, Ron",R,SenRonJohnson
@SenatorBaldwin,Wisconsin,U.S. Senator,"Baldwin, Tammy",D,SenatorBaldwin
@RepBryanSteil,Wisconsin 1st District,U.S. Representative,"Steil, Bryan",D,RepBryanSteil
@repmarkpocan,Wisconsin 2nd District,U.S. Representative,"Pocan, Mark",D,repmarkpocan
@RepRonKind,Wisconsin 3rd District,U.S. Representative,"Kind, Ron",D,RepRonKind
@RepGwenMoore,Wisconsin 4th District,U.S. Representative,"Moore, Gwen",D,RepGwenMoore
@JimPressOffice,Wisconsin 5th District,U.S. Representative,"Sensenbrenner, F. James",R,JimPressOffice
@RepGrothman,Wisconsin 6th District,U.S. Representative,"Grothman, Glenn",R,RepGrothman
@TomTiffanyWI,Wisconsin 7th District,U.S. Representative,"Tiffany, Thomas",R,TomTiffanyWI
@MikeforWI,Wisconsin 8th District,U.S. Representative,"Gallagher, Mike",R,MikeforWI
@SenatorEnzi,Wyoming,U.S. Senator,"Enzi, Mike",R,SenatorEnzi
@SenJohnBarrasso,Wyoming,U.S. Senator,"Barrasso, John",R,SenJohnBarrasso
@Liz_Cheney,Wyoming At-Large,U.S. Representative,"Cheney, Liz",R,Liz_Cheney
